candidate_id,candidate_source_id,candidate_domain,education,skills,skills_and_achievements,candidate_experience,job_type,round_id,question_id,question,question_category,target_role,source_role,difficulty,question_experience,source_type,answer_id,answer,answer_source,keywords,synthetic_record,merge_note
C001,74552449,Banking,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013)","Excel, Financial Reporting, Salesforce, Html, Photoshop, Illustrator, Marketing, Communication, Leadership, Negotiation, Ms Office","Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth","Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking",Entry-level,R001,Q001,Tell me about a time you had to learn something completely new quickly.,Adaptability,Banking / Financial Analyst,DevOps Engineer,Easy,fresher,Open-Ended,A001,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Tell me about a time you had to learn something completely new quickly.",Ankshi ideal_answer,['flexible' 'change'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C001,74552449,Banking,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013)","Excel, Financial Reporting, Salesforce, Html, Photoshop, Illustrator, Marketing, Communication, Leadership, Negotiation, Ms Office","Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth","Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking",Entry-level,R002,Q002,What's the most significant change you've had to adapt to at work?,Adaptability,Banking / Financial Analyst,DevOps Engineer,Medium,intern,STAR-Based,A002,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?",Ankshi ideal_answer,['learn' 'adjust'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C001,74552449,Banking,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013)","Excel, Financial Reporting, Salesforce, Html, Photoshop, Illustrator, Marketing, Communication, Leadership, Negotiation, Ms Office","Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth","Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking",Entry-level,R003,Q003,How do you motivate others in a leadership role?,Leadership,Banking / Financial Analyst,Marketing Associate,Hard,6 years,Situational,A003,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?",Ankshi ideal_answer,['guide' 'mentor'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C001,74552449,Banking,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013)","Excel, Financial Reporting, Salesforce, Html, Photoshop, Illustrator, Marketing, Communication, Leadership, Negotiation, Ms Office","Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth","Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking",Entry-level,R004,Q004,Describe a time you led a project or team.,Leadership,Banking / Financial Analyst,UX Designer,Hard,2 years,Behavioral,A004,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Describe a time you led a project or team.",Ankshi ideal_answer,['mentor' 'manage'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C002,79041971,Banking,"High School Diploma, Federal Way Senior High School, United States (2010","Leadership, Team Management, Client Relations, Training, Recruiting","Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement.","Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution.",Mid-level,R005,Q005,How do you delegate tasks effectively?,Leadership,Banking / Financial Analyst,HR Specialist,Hard,6 years,Behavioral,A005,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?",Ankshi ideal_answer,['supervise' 'manage'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C002,79041971,Banking,"High School Diploma, Federal Way Senior High School, United States (2010","Leadership, Team Management, Client Relations, Training, Recruiting","Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement.","Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution.",Mid-level,R006,Q006,What makes a good leader in your opinion?,Leadership,Banking / Financial Analyst,Software Engineer,Hard,3 years,Open-Ended,A006,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. What makes a good leader in your opinion?",Ankshi ideal_answer,['mentor' 'guide'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C002,79041971,Banking,"High School Diploma, Federal Way Senior High School, United States (2010","Leadership, Team Management, Client Relations, Training, Recruiting","Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement.","Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution.",Mid-level,R007,Q007,How do you react to sudden changes in priorities?,Adaptability,Banking / Financial Analyst,Data Scientist,Hard,1 year,Behavioral,A007,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you react to sudden changes in priorities?",Ankshi ideal_answer,['adjust' 'change'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C002,79041971,Banking,"High School Diploma, Federal Way Senior High School, United States (2010","Leadership, Team Management, Client Relations, Training, Recruiting","Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement.","Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution.",Mid-level,R008,Q008,Tell me about a time you mentored someone.,Leadership,Banking / Financial Analyst,Software Engineer,Medium,7+ years,STAR-Based,A008,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Tell me about a time you mentored someone.",Ankshi ideal_answer,['manage' 'mentor'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C003,77156708,Banking,"Master of Management, Business Management — Colorado State University (05/2017). Bachelor of Arts, Applied Economics — National University of Kaohsiung, Taiwan (05/2013).","Sql, Financial Analysis, Project Management, Salesforce, Jira, Confluence, Marketing, Budgeting, Credit, Underwriting, Documentation, Ms Office","NMLS #1796859; business development; project management; Confluence/Jira/Salesforce/SQL; financial analysis & statements; pricing strategy; budgeting; credit/underwriting; due diligence; documentation; marketing & PR; MS Office, G Suite, Keynote; bilingual Mandarin. Top 1 Mortgage Originator & Top 3 Loan Sales (North Denver); drove +200% membership growth; +10% reporting efficiency.","Banking Officer (10/2018–Current)—BSA/AML/OFAC compliance; credit analysis & underwriting; top producer; realtor & SMB relationships; supervised Asian Banking Center and community outreach. Director of Finance (05/2019–Current)—budgeting, financial strategy, statements, pricing leading to +200% membership. Marketing Specialist (08/2017–09/2018)—digital strategy, collateral, 10+ partnerships. Retail Store Manager (08/2014–07/2015)—ops, POS rollout, records.",Mid-level,R009,Q009,Describe a time you failed and what you learned from it.,Adaptability,Banking / Financial Analyst,QA Analyst,Medium,intern,Situational,A009,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Describe a time you failed and what you learned from it.",Ankshi ideal_answer,['change' 'flexible'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C003,77156708,Banking,"Master of Management, Business Management — Colorado State University (05/2017). Bachelor of Arts, Applied Economics — National University of Kaohsiung, Taiwan (05/2013).","Sql, Financial Analysis, Project Management, Salesforce, Jira, Confluence, Marketing, Budgeting, Credit, Underwriting, Documentation, Ms Office","NMLS #1796859; business development; project management; Confluence/Jira/Salesforce/SQL; financial analysis & statements; pricing strategy; budgeting; credit/underwriting; due diligence; documentation; marketing & PR; MS Office, G Suite, Keynote; bilingual Mandarin. Top 1 Mortgage Originator & Top 3 Loan Sales (North Denver); drove +200% membership growth; +10% reporting efficiency.","Banking Officer (10/2018–Current)—BSA/AML/OFAC compliance; credit analysis & underwriting; top producer; realtor & SMB relationships; supervised Asian Banking Center and community outreach. Director of Finance (05/2019–Current)—budgeting, financial strategy, statements, pricing leading to +200% membership. Marketing Specialist (08/2017–09/2018)—digital strategy, collateral, 10+ partnerships. Retail Store Manager (08/2014–07/2015)—ops, POS rollout, records.",Mid-level,R010,Q010,How do you stay updated with industry trends?,Adaptability,Banking / Financial Analyst,QA Analyst,Easy,6 years,Open-Ended,A010,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you stay updated with industry trends?",Ankshi ideal_answer,['learn' 'adjust'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
C003,77156708,Banking,"Master of Management, Business Management — Colorado State University (05/2017). Bachelor of Arts, Applied Economics — National University of Kaohsiung, Taiwan (05/2013).","Sql, Financial Analysis, Project Management, Salesforce, Jira, Confluence, Marketing, Budgeting, Credit, Underwriting, Documentation, Ms Office","NMLS #1796859; business development; project management; Confluence/Jira/Salesforce/SQL; financial analysis & statements; pricing strategy; budgeting; credit/underwriting; due diligence; documentation; marketing & PR; MS Office, G Suite, Keynote; bilingual Mandarin. Top 1 Mortgage Originator & Top 3 Loan Sales (North Denver); drove +200% membership growth; +10% reporting efficiency.","Banking Officer (10/2018–Current)—BSA/AML/OFAC compliance; credit analysis & underwriting; top producer; realtor & SMB relationships; supervised Asian Banking Center and community outreach. Director of Finance (05/2019–Current)—budgeting, financial strategy, statements, pricing leading to +200% membership. Marketing Specialist (08/2017–09/2018)—digital strategy, collateral, 10+ partnerships. Retail Store Manager (08/2014–07/2015)—ops, POS rollout, records.",Mid-level,R011,Q011,Tell me about a time you had to learn something completely new quickly.,Adaptability,Banking / Financial Analyst,DevOps Engineer,Easy,fresher,Open-Ended,A011,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Tell me about a time you had to learn something completely new quickly.",Ankshi ideal_answer,['flexible' 'change'],True,Synthetic association: CareerCorpus candidate profile linked to a semantically compatible Ankshi interview question.
